date,time,object,zone,point,surface,lux,height_cm,mode,light_sources,dimmer,note
2026-09-09,12:2x,Rozybakieva,Z4,table_left_of_entry,столешница,116,~75,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.1C; RH=33.0%; шум 52.8 dBA SLOW"
2026-09-09,12:2x,Rozybakieva,Z4,table_left_of_entry,столешница,109,~75,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.1C; RH=33.0%; шум 52.1 dBA SLOW; пол рядом НЕ измерен"
2026-09-09,12:3x,Rozybakieva,Z5,bar_counter,стойка,193,?,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.2C; RH=33.1%; шум 55.4 dBA SLOW; сторона (гость/бармен) не указана"
2026-09-09,12:3x,Rozybakieva,Z5,bar_counter,стойка,135,?,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.2C; RH=33.3%; шум 55.5 dBA SLOW; разброс 135-193 широкий"
2026-09-09,12:4x,Rozybakieva,Z5,bar_counter_side2,стойка,161,?,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.2C; RH=33.0%; шум 54.6 dBA SLOW; бар квадратный, это 2-я из 3 сторон"
2026-09-09,12:4x,Rozybakieva,Z5,bar_counter_side2,стойка,155,?,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.2C; RH=33.3%; шум 59.7 dBA SLOW (всплеск); разброс узкий 155-161"
2026-09-09,12:5x,Rozybakieva,Z5,bar_counter_side3,стойка,189,?,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.2C; RH=33.0%; шум 55.3 dBA SLOW; 3-я из 3 сторон"
2026-09-09,12:5x,Rozybakieva,Z5,bar_counter_side3,стойка,184,?,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.2C; RH=32.6%; шум 54.7 dBA SLOW; разброс узкий 184-189"
2026-09-09,13:0x,Rozybakieva,Z4,seating_right_by_bar,столешница,6,~75,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.2C; RH=32.4%; шум 58.2 dBA SLOW; стол накрыт (тарелка, стакан)"
2026-09-09,13:0x,Rozybakieva,Z4,seating_right_by_bar,столешница,4,~75,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.1C; RH=32.2%; шум 60.3 dBA SLOW; в 30-47 раз темнее других столов зала"
2026-09-09,13:1x,Rozybakieva,Z4,seating_left_by_bar,столешница,81,~75,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.1C; RH=32.6%; шум 53.4 dBA SLOW"
2026-09-09,13:1x,Rozybakieva,Z4,seating_left_by_bar,столешница,80,~75,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.1C; RH=32.6%; шум 53.3 dBA SLOW; разброс 1%, зона ровная"
2026-09-09,13:2x,Rozybakieva,Z4,kamchatka_left_tables,столешница,143,~75,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.1C; RH=31.8%; шум 59.7 dBA SLOW"
2026-09-09,13:2x,Rozybakieva,Z4,kamchatka_left_tables,столешница,143,~75,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.1C; RH=31.8%; шум 53.9 dBA SLOW; MAX=MIN, замер полностью стабилен"
2026-09-09,13:3x,Rozybakieva,Z4,kamchatka_next_tables,столешница,92,~75,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.1C; RH=31.8%; шум 54.7 dBA SLOW"
2026-09-09,13:3x,Rozybakieva,Z4,kamchatka_next_tables,столешница,92,~75,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.0C; RH=31.8%; шум 59.8 dBA SLOW; MAX=MIN, стабильно"
2026-09-09,13:4x,Rozybakieva,Z4,kamchatka_far_tables,столешница,58,~75,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.0C; RH=31.9%; шум 55.9 dBA SLOW"
2026-09-09,13:4x,Rozybakieva,Z4,kamchatka_far_tables,столешница,50,~75,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.0C; RH=31.8%; шум 55.8 dBA SLOW; камчатка гаснет вглубь 143-92-54"
2026-09-09,13:5x,Rozybakieva,Z4,kamchatka_far_tables_2,столешница,57,~75,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=25.9C; RH=31.5%; шум 56.9 dBA SLOW"
2026-09-09,13:5x,Rozybakieva,Z4,kamchatka_far_tables_2,столешница,57,~75,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=25.9C; RH=31.6%; шум 56.0 dBA SLOW; подтверждает плато ~55 лк в дальней камчатке"
2026-09-09,14:0x,Rozybakieva,Z4,kamchatka_middle,столешница,6,~75,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.6C; RH=32.0%; шум 55.2 dBA SLOW; ВТОРАЯ провальная зона"
2026-09-09,14:0x,Rozybakieva,Z4,kamchatka_middle,столешница,5,~75,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.6C; RH=31.5%; шум 56.1 dBA SLOW; метка 'середина' конфликтует с точкой 92 лк"
2026-09-09,14:1x,Rozybakieva,Z4,kamchatka_farthest_table,столешница,30,~75,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.6C; RH=30.9%; шум 59.9 dBA SLOW"
2026-09-09,14:1x,Rozybakieva,Z4,kamchatka_farthest_table,столешница,30,~75,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.6C; RH=31.2%; шум 54.9 dBA SLOW; MAX=MIN"
2026-09-09,14:2x,Rozybakieva,Z4,kamchatka_right_three_tables,столешница,88,~75,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.6C; RH=31.2%; шум 55.6 dBA SLOW"
2026-09-09,14:2x,Rozybakieva,Z4,kamchatka_right_three_tables,столешница,88,~75,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.5C; RH=31.2%; шум 53.9 dBA SLOW; MAX=MIN"
2026-09-09,14:3x,Rozybakieva,Z4,near_stage,столешница,97,~75,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.5C; RH=32.2%; шум 52.0 dBA SLOW"
2026-09-09,14:3x,Rozybakieva,Z4,near_stage,столешница,97,~75,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.5C; RH=32.2%; шум 52.6 dBA SLOW; MAX=MIN"
2026-09-09,14:4x,Rozybakieva,Z4,near_stage_deep,столешница,33,~75,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.5C; RH=32.3%; шум 52.5 dBA SLOW"
2026-09-09,14:4x,Rozybakieva,Z4,near_stage_deep,столешница,31,~75,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.5C; RH=32.2%; шум 52.8 dBA SLOW; втрое темнее переднего края той же зоны"
2026-09-09,14:5x,Rozybakieva,Z4,entry_from_terrace,столешница,27,~75,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.5C; RH=32.2%; шум 52.8 dBA SLOW; второй вход - со стороны летника"
2026-09-09,14:5x,Rozybakieva,Z4,entry_from_terrace,столешница,26,~75,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.5C; RH=32.1%; шум 54.3 dBA SLOW; летник как зона ранее не учитывался"
2026-09-09,15:0x,Rozybakieva,Z4,entry_from_terrace_table2,столешница,67,~75,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.5C; RH=33.8%; шум 63.9 dBA SLOW - максимум за день"
2026-09-09,15:0x,Rozybakieva,Z4,entry_from_terrace_table2,столешница,67,~75,MIN,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.5C; RH=33.2%; шум 59.2 dBA SLOW; влажность выше остального зала"
2026-09-09,15:1x,Rozybakieva,Z4,entry_from_terrace_table3,столешница,55,~75,MAX,"искусственный (дневной режим)","нет — один сценарий весь день","T=26.5C; RH=32.4%; шум 59.9 dBA SLOW; прислано только MAX, MIN не снят"
